Survey	Location	id	Serial	Morph	C_Age	TL_mm	M_radius	Age	Radius	L	TL_inch	L2
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	1	0.40118	105.0638441	4.136371814	113.358136
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	2	0.59526	166.3431773	6.54894399	176.3867085
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	3	0.69991	199.3856455	7.849828564	209.4600939
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	4	0.8184	236.797992	9.322755589	246.3077617
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	5	0.91257	266.5314772	10.49336524	275.2036891
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	6	0.99673	293.1043785	11.53954246	300.7718106
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	7	1.08226	320.1098473	12.60274989	326.5324066
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	8	1.16305	345.6186959	13.60703527	350.6758375
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	9	1.2346	368.2100824	14.49645994	371.9158011
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	10	1.28771	384.9791744	15.15666041	387.6007216
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	11	1.32755	397.5583616	15.651904	399.3234386
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	12	1.36602	409.7049813	16.13011737	410.6091835
9	Klondike Reef	111	LS04-2-02	Humper	13	422	1.40496	13	1.40496	422	16.61417323	422
9	Klondike Reef	112	LS04-2-03	Humper	11	416	1.31699	1	0.34928	92.59320061	3.645401599	98.47094798
9	Klondike Reef	112	LS04-2-03	Humper	11	416	1.31699	2	0.45833	129.0374985	5.080216475	136.2316059
9	Klondike Reef	112	LS04-2-03	Humper	11	416	1.31699	3	0.59766	175.6013134	6.913437535	183.4315298
9	Klondike Reef	112	LS04-2-03	Humper	11	416	1.31699	4	0.73047	219.986157	8.660872324	227.5831082
